City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
85,Pacific Grove,36.6177,-121.9166,96.03,76,1,1.01,US,2021-05-31 21:52:45
86,Del Rio,29.3627,-100.8968,88.43,66,40,12.66,US,2021-05-31 21:48:43
87,Mahebourg,-20.4081,57.7,73.69,78,40,6.91,MU,2021-05-31 21:52:46
88,Pandan,14.0453,124.1694,81.54,85,95,5.48,PH,2021-05-31 21:52:46
89,Tuatapere,-46.1333,167.6833,42.28,87,54,3.94,NZ,2021-05-31 21:52:46
90,Ruwi,23.5996,58.5507,94.42,32,12,10.47,OM,2021-05-31 21:52:47
91,Khatanga,71.9667,102.5,34.81,83,79,12.06,RU,2021-05-31 21:52:47
92,Nikolskoye,59.7035,30.7861,48.4,92,100,4.0,RU,2021-05-31 21:52:48
93,Clarksburg,39.2807,-80.3445,72.84,42,1,0.6,US,2021-05-31 21:51:04
94,Camocim,-2.9022,-40.8411,79.05,85,70,11.95,BR,2021-05-31 21:52:48
95,Port Elizabeth,-33.918,25.5701,51.1,79,21,13.27,ZA,2021-05-31 21:52:48
96,Cabedelo,-6.9811,-34.8339,77.67,82,8,12.15,BR,2021-05-31 21:52:49
97,Hasaki,35.7333,140.8333,63.28,76,97,7.54,JP,2021-05-31 21:52:50
98,Dikson,73.5069,80.5464,28.65,91,100,16.22,RU,2021-05-31 21:52:50
99,Hualmay,-11.0964,-77.6139,66.88,82,89,8.9,PE,2021-05-31 21:52:50
100,Upernavik,72.7868,-56.1549,31.26,90,100,2.95,GL,2021-05-31 21:52:51
101,Magrath,49.4167,-112.8686,77.04,23,48,3.44,CA,2021-05-31 21:52:52
102,Dubai,25.2582,55.3047,89.85,62,0,6.91,AE,2021-05-31 21:51:58
103,Hurricane,37.1753,-113.2899,96.71,9,5,5.32,US,2021-05-31 21:52:53
104,Dovers,12.8833,-61.1833,81.99,78,91,20.71,VC,2021-05-31 21:52:53
105,Saskylakh,71.9167,114.0833,44.29,95,100,14.29,RU,2021-05-31 21:52:53
106,Mazagao,-0.115,-51.2894,78.85,94,66,3.11,BR,2021-05-31 21:52:54
107,Naze,28.3667,129.4833,74.32,70,59,19.77,JP,2021-05-31 21:52:54
108,Touros,-5.1989,-35.4608,79.7,82,6,10.2,BR,2021-05-31 21:52:54
109,Tieli,46.95,128.05,56.89,85,100,6.49,CN,2021-05-31 21:52:55
110,Mayumba,-3.432,10.6554,76.32,91,87,4.52,GA,2021-05-31 21:52:55
111,Katsuura,35.1333,140.3,67.19,85,83,14.16,JP,2021-05-31 21:52:55
112,Alta Floresta,-9.8756,-56.0861,85.82,62,0,1.14,BR,2021-05-31 21:52:56
113,Georgetown,5.4112,100.3354,79.9,93,20,3.0,MY,2021-05-31 21:52:56
114,Norfolk,42.1668,-71.2495,60.55,85,90,1.01,US,2021-05-31 21:52:56
115,Laguna,38.421,-121.4238,105.48,23,1,1.99,US,2021-05-31 21:52:57
116,Severo-Kurilsk,50.6789,156.125,37.65,98,100,22.48,RU,2021-05-31 21:52:57
117,Guacara,10.2261,-67.877,84.06,54,75,7.65,VE,2021-05-31 21:52:57
118,Maun,-19.9833,23.4167,60.76,48,0,4.61,BW,2021-05-31 21:52:58
119,Maumere,-8.6199,122.2111,77.27,81,79,3.06,ID,2021-05-31 21:52:58
120,Airai,-8.9266,125.4092,57.18,92,100,2.13,TL,2021-05-31 21:52:58
121,Fortuna,40.5982,-124.1573,97.48,61,30,3.0,US,2021-05-31 21:52:59
122,Amuntai,-2.4177,115.2494,73.69,95,45,1.34,ID,2021-05-31 21:52:59
123,Guerrero Negro,27.9769,-114.0611,71.33,49,0,13.35,MX,2021-05-31 21:52:59
124,Lorengau,-2.0226,147.2712,81.61,84,99,11.63,PG,2021-05-31 21:53:00
125,Harbour Breton,47.4833,-55.7983,48.99,88,100,7.2,CA,2021-05-31 21:53:00
126,Taltal,-25.4,-70.4833,66.87,65,17,2.84,CL,2021-05-31 21:53:00
127,Lamesa,32.7376,-101.951,65.46,78,100,21.18,US,2021-05-31 21:53:01
128,Falun,60.6036,15.626,52.21,83,100,2.62,SE,2021-05-31 21:53:01
129,Lavrentiya,65.5833,-171.0,35.02,75,62,8.79,RU,2021-05-31 21:53:02
130,Jibuti,11.5,42.5,83.97,46,18,6.55,DJ,2021-05-31 21:53:02
131,Matadi,-5.8167,13.45,76.3,84,29,3.33,CD,2021-05-31 21:53:02
132,Tacoronte,28.4769,-16.4102,62.26,77,40,14.97,ES,2021-05-31 21:53:03
133,Neftcala,39.3742,49.2472,68.9,74,0,5.53,AZ,2021-05-31 21:53:03
134,Cayenne,4.9333,-52.3333,77.09,89,75,1.99,GF,2021-05-31 21:53:04
135,Saint-Philippe,-21.3585,55.7679,72.95,78,27,8.32,RE,2021-05-31 21:53:04
136,Esperance,-33.8667,121.9,57.04,78,95,21.77,AU,2021-05-31 21:53:05
137,Oksfjord,70.2396,22.3479,44.67,95,100,9.04,NO,2021-05-31 21:53:05
138,Rafaela,-31.2503,-61.4867,60.01,52,36,6.08,AR,2021-05-31 21:53:06
139,Nago,26.5881,127.9761,77.07,82,100,16.42,JP,2021-05-31 21:53:06
140,Nemuro,43.3236,145.575,42.35,78,25,12.64,JP,2021-05-31 21:53:06
141,Glarus,47.0406,9.068,58.69,18,0,4.23,CH,2021-05-31 21:53:07
142,Lagoa,39.05,-27.9833,59.95,71,68,16.31,PT,2021-05-31 21:53:07
143,Severobaykalsk,55.65,109.3167,39.52,82,100,3.53,RU,2021-05-31 21:53:07
144,Flinders,-34.5833,150.8552,49.28,55,98,5.03,AU,2021-05-31 21:53:08
145,Cockburn Town,21.4612,-71.1419,82.36,65,40,13.8,TC,2021-05-31 21:53:08
146,Taybad,34.74,60.7756,81.48,18,0,11.25,IR,2021-05-31 21:53:08
147,Ugoofaaru,5.6667,73.0,82.96,70,84,20.38,MV,2021-05-31 21:53:09
148,Pingliang,35.5392,106.6861,58.68,56,100,3.09,CN,2021-05-31 21:53:09
149,San Patricio,28.017,-97.5169,87.78,61,89,14.97,US,2021-05-31 21:53:09
150,Husavik,66.0449,-17.3389,51.71,56,24,7.81,IS,2021-05-31 21:53:10
151,Mar Del Plata,-38.0023,-57.5575,53.13,50,75,0.0,AR,2021-05-31 21:53:10
152,Tezu,27.9167,96.1667,72.99,98,100,3.65,IN,2021-05-31 21:53:10
153,Tibu,8.639,-72.7358,89.67,58,54,3.38,CO,2021-05-31 21:53:11
154,Bose,45.4612,8.0137,62.96,79,4,4.32,IT,2021-05-31 21:53:12
155,Henties Bay,-22.116,14.2845,55.85,87,0,9.89,NA,2021-05-31 21:53:12
156,Yellowknife,62.456,-114.3525,62.29,44,75,3.0,CA,2021-05-31 21:53:12
157,Petatlan,17.5167,-101.2667,87.94,62,100,7.02,MX,2021-05-31 21:53:13
