City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
183,Khagaria,IN,87.73,clear sky,25.5,86.4833,Hotel Amol Nac
184,Taybad,IR,85.82,clear sky,34.74,60.7756,لی پوش jean center
188,Two Rivers,US,88.29,clear sky,44.1539,-87.5693,Lighthouse Inn On Lake Michigan
190,Parrita,CR,87.57,overcast clouds,9.5201,-84.3225,Beso del Viento
193,Sola,VU,84.87,broken clouds,-13.8833,167.55,Leumerus Bungalows
200,Biak,ID,76.75,overcast clouds,-0.9131,122.8766,Penginapan Kim
203,Auki,SB,81.03,overcast clouds,-8.7676,160.7034,Auki Motel
206,Bathsheba,BB,83.01,few clouds,13.2167,-59.5167,Atlantis Hotel
208,Sinnamary,GF,78.82,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
210,Cortez,US,82.51,scattered clouds,37.3489,-108.5859,Sand Canyon National 9 Inn
217,Havelock,US,78.78,overcast clouds,34.8791,-76.9013,Sherwood Motel
220,Sterling,US,81.27,broken clouds,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
226,Huntington,US,76.21,scattered clouds,38.4193,-82.4452,Ramada Limited Huntington
234,Touros,BR,77.9,few clouds,-5.1989,-35.4608,INN NEW HORIZON
235,Daryapur,IN,85.95,overcast clouds,20.9333,77.3333,Adv Aditya Deshmukh
238,Saint-Georges,GD,82.08,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
246,Banikoara,BJ,88.74,clear sky,11.2985,2.4386,Hôtel de l'UCom CVPC
249,Ascension,US,82.99,overcast clouds,30.2169,-90.9001,Highland Inn
251,Ottumwa,US,88.34,clear sky,41.02,-92.4113,Hampton Inn Ottumwa
255,Takoradi,GH,80.13,scattered clouds,4.8845,-1.7554,Raybow International Hotel
256,Ewa Beach,US,87.75,overcast clouds,21.3156,-158.0072,Uncle Junior Robert
257,Teknaf,BD,81.54,broken clouds,20.8624,92.3058,Forestry Guesthouse
258,Khash,IR,79.83,clear sky,28.2211,61.2158,دفتر پیشخوان دولت جمال زهی (خالد)
260,Miri,MY,77.31,overcast clouds,4.4148,114.0089,"Mega Hotel, Miri"
264,Nawashahr,IN,81.0,few clouds,31.1167,76.1333,Hotel Janpath
265,Monrovia,LR,81.12,overcast clouds,6.3005,-10.7969,Sunset Inn
269,Alofi,NU,76.89,light rain,-19.0595,-169.9187,Taloa Heights
271,Jardim,BR,78.73,few clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
272,Mandera,KE,79.99,few clouds,3.9366,41.867,Kornesh Hotel and Lodging
275,Itaituba,BR,81.12,light rain,-4.2761,-55.9836,Hotel Campos
280,Eirunepe,BR,81.0,broken clouds,-6.6603,-69.8736,Atrás de você
285,Marsh Harbour,BS,79.25,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
289,Korla,CN,77.74,broken clouds,41.7597,86.1469,Gulisitan Hotel
290,Umm Lajj,SA,81.84,clear sky,25.0213,37.2685,Moon light Furnished Units
292,Mitsamiouli,KM,77.58,few clouds,-11.3847,43.2844,Foyer ADM
297,Mayumba,GA,76.44,clear sky,-3.432,10.6554,LIKWALE LODGE
303,Ixtapa,MX,85.23,overcast clouds,20.7,-105.2,Hotel Plaza Providencia
