City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
175,Ust-Nera,RU,2021-06-03 22:09:53,64.5667,143.2,57.2,38,21,4.85,few clouds
176,Manjacaze,MZ,2021-06-03 22:09:54,-24.7117,33.8828,62.11,89,98,17.18,light rain
177,Bairiki,KI,2021-06-03 22:09:57,1.3292,172.9752,86.0,74,40,9.93,scattered clouds
178,Sobolevo,RU,2021-06-03 22:09:58,54.4299,31.8996,51.84,77,19,6.82,light rain
179,Quatre Cocos,MU,2021-06-03 22:09:59,-20.2078,57.7625,74.08,72,50,16.24,light rain
180,Iqaluit,CA,2021-06-03 22:10:01,63.7506,-68.5145,32.7,69,100,11.99,overcast clouds
181,Paita,PE,2021-06-03 22:05:33,-5.0892,-81.1144,69.57,79,2,17.58,clear sky
182,Iskateley,RU,2021-06-03 22:10:06,67.6803,53.1512,42.46,68,0,8.39,clear sky
183,Khagaria,IN,2021-06-03 22:10:07,25.5,86.4833,87.73,46,2,5.48,clear sky
184,Taybad,IR,2021-06-03 22:10:08,34.74,60.7756,85.82,13,0,7.45,clear sky
185,Riyadh,SA,2021-06-03 22:08:56,24.6877,46.7219,91.45,16,0,0.0,clear sky
186,Yeppoon,AU,2021-06-03 22:10:12,-23.1333,150.7333,65.98,82,92,6.26,overcast clouds
187,Pisco,PE,2021-06-03 22:08:07,-13.7,-76.2167,66.25,72,0,10.36,clear sky
188,Two Rivers,US,2021-06-03 22:10:14,44.1539,-87.5693,88.29,56,1,5.75,clear sky
189,Souillac,MU,2021-06-03 22:10:17,-20.5167,57.5167,74.35,75,44,15.41,light rain
190,Parrita,CR,2021-06-03 22:10:18,9.5201,-84.3225,87.57,80,95,2.55,overcast clouds
191,Umm Kaddadah,SD,2021-06-03 22:10:19,13.6017,26.6876,82.58,40,91,6.2,overcast clouds
192,Avera,US,2021-06-03 22:10:21,33.194,-82.5271,87.4,60,100,9.19,overcast clouds
193,Sola,VU,2021-06-03 22:08:17,-13.8833,167.55,84.87,74,75,11.5,broken clouds
194,Charters Towers,AU,2021-06-03 22:10:23,-20.1,146.2667,61.7,63,84,15.84,broken clouds
195,Broome,US,2021-06-03 22:10:25,42.2506,-75.833,71.38,88,90,5.01,overcast clouds
196,Mayor Pablo Lagerenza,PY,2021-06-03 22:10:26,-19.9309,-60.7718,84.7,38,55,6.89,broken clouds
197,Martinopolis,BR,2021-06-03 22:10:27,-22.1458,-51.1708,70.32,61,0,8.1,clear sky
198,Amapa,BR,2021-06-03 22:10:29,1.0,-52.0,73.85,98,13,2.17,heavy intensity rain
199,Jutai,BR,2021-06-03 22:10:30,-5.1833,-68.9,81.18,72,93,2.37,overcast clouds
200,Biak,ID,2021-06-03 22:08:17,-0.9131,122.8766,76.75,84,100,6.53,overcast clouds
201,Lisakovsk,KZ,2021-06-03 22:10:32,52.5369,62.4936,56.32,81,100,15.1,overcast clouds
202,Seoul,KR,2021-06-03 22:09:53,37.5683,126.9778,58.57,88,75,3.18,broken clouds
203,Auki,SB,2021-06-03 22:10:35,-8.7676,160.7034,81.03,83,100,3.62,overcast clouds
204,Hearst,CA,2021-06-03 22:10:36,49.6835,-83.6665,66.7,73,55,9.57,broken clouds
205,Qaqortoq,GL,2021-06-03 22:10:38,60.7167,-46.0333,50.5,78,82,6.55,broken clouds
206,Bathsheba,BB,2021-06-03 22:10:39,13.2167,-59.5167,83.01,61,20,16.98,few clouds
207,Codrington,AU,2021-06-03 22:10:40,-38.2667,141.9667,51.22,70,64,17.58,broken clouds
208,Sinnamary,GF,2021-06-03 22:10:42,5.3833,-52.95,78.82,88,96,9.64,overcast clouds
209,Cidreira,BR,2021-06-03 22:10:43,-30.1811,-50.2056,59.94,80,0,6.91,clear sky
210,Cortez,US,2021-06-03 22:10:44,37.3489,-108.5859,82.51,27,40,18.41,scattered clouds
211,Mercedes,AR,2021-06-03 22:05:58,-34.6515,-59.4307,62.83,79,90,7.83,overcast clouds
212,Constitucion,CL,2021-06-03 22:07:02,-35.3333,-72.4167,58.28,90,100,8.05,overcast clouds
213,Brunswick,US,2021-06-03 22:08:37,41.2381,-81.8418,69.06,94,90,3.0,heavy intensity rain
214,Port Macquarie,AU,2021-06-03 22:10:49,-31.4333,152.9167,57.88,82,3,9.6,clear sky
215,Fayaoue,NC,2021-06-03 22:10:50,-20.65,166.5333,74.43,58,88,5.37,overcast clouds
216,Ojinaga,MX,2021-06-03 22:10:52,29.5667,-104.4167,90.57,20,1,12.66,clear sky
217,Havelock,US,2021-06-03 22:10:53,34.8791,-76.9013,78.78,91,100,8.01,overcast clouds
218,Turukhansk,RU,2021-06-03 22:08:03,65.8167,87.9833,34.75,80,44,5.01,scattered clouds
219,Port Hardy,CA,2021-06-03 22:10:55,50.6996,-127.4199,54.16,78,79,9.57,broken clouds
220,Sterling,US,2021-06-03 22:06:09,39.0062,-77.4286,81.27,80,75,8.99,broken clouds
221,Roald,NO,2021-06-03 22:10:58,62.5833,6.1333,60.91,72,10,9.22,clear sky
222,Gusinoye Ozero,RU,2021-06-03 22:10:59,51.1144,106.2614,57.99,52,4,3.29,clear sky
223,Nelson Bay,AU,2021-06-03 22:11:01,-32.7167,152.15,58.08,83,19,3.0,few clouds
224,Rutland,US,2021-06-03 22:11:02,43.6167,-73.0162,72.84,88,90,7.56,overcast clouds
225,Tiznit,MA,2021-06-03 22:11:03,29.5833,-9.5,64.44,69,100,2.59,overcast clouds
226,Huntington,US,2021-06-03 22:07:36,38.4193,-82.4452,76.21,78,40,9.26,scattered clouds
227,Taoudenni,ML,2021-06-03 22:11:06,22.6783,-3.9836,102.61,9,56,5.61,broken clouds
228,Chuy,UY,2021-06-03 22:11:07,-33.6971,-53.4616,52.16,64,40,7.14,scattered clouds
229,Realeza,BR,2021-06-03 22:11:09,-25.7689,-53.5325,71.73,65,67,1.95,broken clouds
230,Kununurra,AU,2021-06-03 22:11:10,-15.7667,128.7333,73.38,53,40,5.75,scattered clouds
231,Skjervoy,NO,2021-06-03 22:11:11,70.0311,20.9714,51.31,67,14,3.8,few clouds
232,Tuatapere,NZ,2021-06-03 22:11:14,-46.1333,167.6833,49.82,84,89,8.05,overcast clouds
233,Praia Da Vitoria,PT,2021-06-03 22:11:15,38.7333,-27.0667,62.76,76,67,6.87,broken clouds
234,Touros,BR,2021-06-03 22:11:16,-5.1989,-35.4608,77.9,74,20,12.46,few clouds
235,Daryapur,IN,2021-06-03 22:11:18,20.9333,77.3333,85.95,51,99,6.29,overcast clouds
236,Tura,IN,2021-06-03 22:06:56,25.5198,90.2201,73.87,93,1,4.97,moderate rain
237,Tessalit,ML,2021-06-03 22:11:21,20.1986,1.0114,98.06,8,68,7.87,broken clouds
238,Saint-Georges,GD,2021-06-03 22:11:23,12.0564,-61.7485,82.08,74,20,19.57,few clouds
239,Rio Gallegos,AR,2021-06-03 22:11:24,-51.6226,-69.2181,37.45,93,90,3.44,light rain
240,Provideniya,RU,2021-06-03 22:11:25,64.3833,-173.3,35.71,69,75,13.42,broken clouds
241,Poum,NC,2021-06-03 22:11:27,-20.2333,164.0167,74.43,64,93,12.57,overcast clouds
242,Byron Bay,AU,2021-06-03 22:11:28,-28.65,153.6167,61.72,71,0,10.83,clear sky
243,Xichang,CN,2021-06-03 22:11:30,27.8964,102.2634,56.12,82,100,1.39,light rain
244,Coahuayana,MX,2021-06-03 22:11:32,18.7333,-103.6833,92.68,52,60,7.85,broken clouds
245,Norman Wells,CA,2021-06-03 22:11:33,65.282,-126.8329,62.06,56,81,6.2,broken clouds
246,Banikoara,BJ,2021-06-03 22:07:06,11.2985,2.4386,88.74,38,2,5.12,clear sky
247,Antofagasta,CL,2021-06-03 22:11:35,-23.65,-70.4,60.08,80,52,2.44,broken clouds
248,Kruisfontein,ZA,2021-06-03 22:11:37,-34.0033,24.7314,48.83,70,11,6.17,few clouds
249,Ascension,US,2021-06-03 22:11:38,30.2169,-90.9001,82.99,84,90,9.22,overcast clouds
250,Etchoropo,MX,2021-06-03 22:11:39,26.7667,-109.6667,105.42,30,0,14.25,clear sky
251,Ottumwa,US,2021-06-03 22:11:41,41.02,-92.4113,88.34,32,1,7.76,clear sky
252,Shenjiamen,CN,2021-06-03 22:11:42,29.9576,122.298,66.31,91,100,13.4,light rain
253,Gao,ML,2021-06-03 22:07:21,16.6362,1.637,96.53,11,73,6.91,broken clouds
254,Todos Santos,MX,2021-06-03 22:11:46,23.45,-110.2167,94.01,48,0,6.44,clear sky
255,Takoradi,GH,2021-06-03 22:08:43,4.8845,-1.7554,80.13,85,36,8.1,scattered clouds
256,Ewa Beach,US,2021-06-03 22:11:48,21.3156,-158.0072,87.75,51,90,12.66,overcast clouds
257,Teknaf,BD,2021-06-03 22:11:49,20.8624,92.3058,81.54,87,84,4.18,broken clouds
258,Khash,IR,2021-06-03 22:11:52,28.2211,61.2158,79.83,11,0,0.74,clear sky
